id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,,,,,,,,,,,,,,,,,,,,
0,paragraph-1-1-01-001.md,0.116666667,0.161111111,0.005555556,0.005555556,0.027777778,0.027777778,0.005555556,0.005555556,0.05,0.072222222,0.294444444,0.005555556,0.005555556,0.005555556,0.094444444,0.005555556,0.005555556,0.027777778,0.05,0.027777778,,,,,,,,,,,,,,,,,,,,
1,paragraph-1-1-01-002.md,0.316666667,0.207575758,0.001515152,0.001515152,0.001515152,0.031818182,0.128787879,0.007575758,0.140909091,0.01969697,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.031818182,0.001515152,0.068181818,0.031818182,,,,,,,,,,,,,,,,,,,,
2,paragraph-1-1-01-003.md,0.25952381,0.173809524,0.069047619,0.002380952,0.011904762,0.069047619,0.135714286,0.011904762,0.002380952,0.011904762,0.002380952,0.002380952,0.002380952,0.05,0.002380952,0.002380952,0.011904762,0.011904762,0.164285714,0.002380952,,,,,,,,,,,,,,,,,,,,
3,paragraph-1-1-02-001.md,0.320588235,0.002941176,0.002941176,0.002941176,0.002941176,0.05,0.355882353,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.014705882,0.097058824,0.014705882,0.002941176,0.108823529,0.002941176,,,,,,,,,,,,,,,,,,,,
4,paragraph-1-1-02-002.md,0.238235294,0.05,0.026470588,0.038235294,0.014705882,0.014705882,0.002941176,0.002941176,0.038235294,0.132352941,0.026470588,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.002941176,0.014705882,0.261764706,0.120588235,,,,,,,,,,,,,,,,,,,,
5,paragraph-1-1-03-001.md,0.21097561,0.025609756,0.05,0.030487805,0.020731707,0.015853659,0.196341463,0.001219512,0.01097561,0.01097561,0.01097561,0.001219512,0.006097561,0.01097561,0.025609756,0.103658537,0.001219512,0.030487805,0.215853659,0.020731707,,,,,,,,,,,,,,,,,,,,
6,paragraph-1-1-03-002.md,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
7,paragraph-1-1-04-001.md,0.21,0.05,0.01,0.09,0.01,0.01,0.01,0.01,0.37,0.01,0.05,0.01,0.01,0.01,0.01,0.05,0.05,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,
8,paragraph-1-1-04-002.md,0.308823529,0.002941176,0.061764706,0.002941176,0.002941176,0.002941176,0.061764706,0.002941176,0.002941176,0.002941176,0.238235294,0.002941176,0.002941176,0.002941176,0.026470588,0.085294118,0.002941176,0.05,0.120588235,0.014705882,,,,,,,,,,,,,,,,,,,,
9,paragraph-1-1-04-003.md,0.243939394,0.007575758,0.013636364,0.043939394,0.001515152,0.001515152,0.068181818,0.062121212,0.001515152,0.001515152,0.031818182,0.001515152,0.001515152,0.001515152,0.171212121,0.001515152,0.001515152,0.013636364,0.189393939,0.140909091,,,,,,,,,,,,,,,,,,,,
10,paragraph-1-1-04-004.md,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
11,paragraph-1-1-05-001.md,0.005555556,0.183333333,0.005555556,0.027777778,0.005555556,0.005555556,0.05,0.005555556,0.05,0.116666667,0.005555556,0.005555556,0.005555556,0.005555556,0.005555556,0.072222222,0.005555556,0.005555556,0.25,0.183333333,,,,,,,,,,,,,,,,,,,,
12,paragraph-1-1-05-002.md,0.334848485,0.001515152,0.01969697,0.05,0.037878788,0.001515152,0.183333333,0.001515152,0.001515152,0.001515152,0.007575758,0.001515152,0.05,0.001515152,0.007575758,0.007575758,0.001515152,0.001515152,0.128787879,0.159090909,,,,,,,,,,,,,,,,,,,,
13,paragraph-1-1-05-003.md,0.170547945,0.02260274,0.00890411,0.00890411,6.85E-04,6.85E-04,0.195205479,0.041780822,0.003424658,0.02260274,0.05,0.039041096,0.05,0.06369863,0.03630137,0.014383562,0.019863014,6.85E-04,0.102054795,0.148630137,,,,,,,,,,,,,,,,,,,,
14,paragraph-1-1-05-004.md,0.056060606,0.001515152,0.007575758,0.068181818,0.001515152,0.092424242,0.346969697,0.007575758,0.007575758,0.007575758,0.025757576,0.001515152,0.013636364,0.001515152,0.031818182,0.013636364,0.01969697,0.007575758,0.001515152,0.286363636,,,,,,,,,,,,,,,,,,,,
15,paragraph-1-1-06-001.md,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
16,paragraph-1-1-06-002.md,0.316666667,0.116666667,0.005555556,0.027777778,0.005555556,0.005555556,0.072222222,0.005555556,0.116666667,0.005555556,0.027777778,0.005555556,0.005555556,0.005555556,0.027777778,0.005555556,0.072222222,0.005555556,0.161111111,0.005555556,,,,,,,,,,,,,,,,,,,,
17,paragraph-1-1-06-003.md,0.383333333,0.005555556,0.027777778,0.005555556,0.005555556,0.005555556,0.138888889,0.005555556,0.05,0.005555556,0.116666667,0.005555556,0.005555556,0.005555556,0.072222222,0.005555556,0.005555556,0.005555556,0.116666667,0.027777778,,,,,,,,,,,,,,,,,,,,
18,paragraph-1-1-06-004.md,0.188461538,0.003846154,0.019230769,0.065384615,0.003846154,0.003846154,0.126923077,0.003846154,0.003846154,0.142307692,0.003846154,0.019230769,0.003846154,0.111538462,0.003846154,0.126923077,0.003846154,0.034615385,0.019230769,0.111538462,,,,,,,,,,,,,,,,,,,,
19,paragraph-1-1-07-001.md,0.229310345,0.015517241,0.015517241,0.001724138,0.001724138,0.015517241,0.112068966,0.098275862,0.015517241,0.001724138,0.09137931,0.001724138,0.022413793,0.001724138,0.036206897,0.077586207,0.001724138,0.001724138,0.077586207,0.181034483,,,,,,,,,,,,,,,,,,,,
20,paragraph-1-1-07-002.md,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,,,,,,,,,,,,,,,,,,,,
21,paragraph-1-1-07-003.md,0.203846154,0.003846154,0.05,0.003846154,0.003846154,0.003846154,0.126923077,0.034615385,0.111538462,0.003846154,0.019230769,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.034615385,0.003846154,0.373076923,,,,,,,,,,,,,,,,,,,,
22,paragraph-1-1-08-001.md,0.027777778,0.005555556,0.005555556,0.027777778,0.005555556,0.005555556,0.183333333,0.027777778,0.005555556,0.116666667,0.005555556,0.005555556,0.094444444,0.005555556,0.027777778,0.005555556,0.005555556,0.072222222,0.005555556,0.361111111,,,,,,,,,,,,,,,,,,,,
23,paragraph-1-1-08-002.md,0.082624113,0.062765957,0.078368794,0.030141844,3.55E-04,0.021631206,0.130851064,0.031560284,0.003191489,3.55E-04,0.065602837,0.044326241,3.55E-04,3.55E-04,0.018794326,3.55E-04,0.010283688,0.028723404,0.126595745,0.262765957,,,,,,,,,,,,,,,,,,,,
24,paragraph-1-1-08-003.md,0.01,0.01,0.01,0.01,0.05,0.01,0.09,0.01,0.49,0.05,0.13,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,
25,paragraph-1-1-09-001.md,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,,,,,,,,,,,,,,,,,,,,
26,paragraph-1-1-09-002.md,0.01,0.01,0.09,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.13,0.01,0.09,0.01,0.01,0.01,0.01,0.05,0.09,0.33,,,,,,,,,,,,,,,,,,,,
27,paragraph-1-1-09-003.md,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.178571429,,,,,,,,,,,,,,,,,,,,
28,paragraph-1-1-09-004.md,0.173076923,0.003846154,0.080769231,0.019230769,0.05,0.003846154,0.034615385,0.003846154,0.034615385,0.003846154,0.080769231,0.003846154,0.05,0.003846154,0.003846154,0.142307692,0.003846154,0.003846154,0.188461538,0.111538462,,,,,,,,,,,,,,,,,,,,
29,paragraph-1-1-10-001.md,0.057734807,0.005801105,0.047790055,0.128453039,0.001381215,2.76E-04,0.247790055,0.014640884,0.005801105,0.022375691,0.00359116,0.011325967,0.011325967,2.76E-04,0.001381215,2.76E-04,0.062154696,2.76E-04,0.114088398,0.263259669,,,,,,,,,,,,,,,,,,,,
30,paragraph-1-1-10-002.md,0.047752809,0.007303371,0.184831461,5.62E-04,0.00505618,0.011797753,0.106179775,5.62E-04,5.62E-04,5.62E-04,5.62E-04,5.62E-04,0.016292135,5.62E-04,0.009550562,5.62E-04,5.62E-04,5.62E-04,0.187078652,0.418539326,,,,,,,,,,,,,,,,,,,,
31,paragraph-1-1-11-001.md,0.05,0.021929825,0.035263158,0.057017544,0.02754386,1.75E-04,0.095614035,0.002982456,0.007192982,1.75E-04,0.03245614,0.007894737,0.034561404,1.75E-04,0.013508772,1.75E-04,0.008596491,0.004385965,0.213508772,0.386842105,,,,,,,,,,,,,,,,,,,,
32,paragraph-1-1-11-002.md,0.105852843,0.010200669,0.085117057,0.004849498,1.67E-04,1.67E-04,0.128595318,0.016889632,0.061036789,0.018896321,0.002173913,8.36E-04,1.67E-04,0.007525084,1.67E-04,1.67E-04,0.015551839,0.004849498,0.207525084,0.329264214,,,,,,,,,,,,,,,,,,,,
33,paragraph-1-1-12-001.md,0.078643216,0.024371859,0.001256281,0.166080402,0.002261307,0.006281407,0.091708543,0.053517588,0.004271357,0.092713568,2.51E-04,0.008291457,0.041457286,0.002261307,0.039447236,2.51E-04,0.016331658,0.002261307,0.088693467,0.279648241,,,,,,,,,,,,,,,,,,,,
34,paragraph-1-1-12-002.md,6.85E-04,0.058219178,0.093835616,0.014383562,6.85E-04,6.85E-04,0.019863014,0.107534247,0.033561644,0.189726027,0.003424658,0.003424658,0.003424658,6.85E-04,0.003424658,6.85E-04,0.014383562,0.00890411,6.85E-04,0.441780822,,,,,,,,,,,,,,,,,,,,
35,paragraph-1-2-13-001.md,0.07326454,0.057129456,9.38E-05,0.044371482,0.01097561,0.002345216,0.113789869,0.009474672,0.009849906,0.015478424,0.02673546,0.007223265,0.009474672,9.38E-05,0.026360225,4.69E-04,0.007223265,0.005722326,0.172701689,0.407223265,,,,,,,,,,,,,,,,,,,,
36,paragraph-1-2-13-002.md,0.097643979,0.087172775,2.62E-04,0.001308901,2.62E-04,0.004450262,0.109162304,0.013874346,0.015968586,0.001308901,2.62E-04,0.001308901,0.003403141,0.014921466,2.62E-04,0.001308901,0.05052356,0.002356021,0.210732984,0.383507853,,,,,,,,,,,,,,,,,,,,
37,paragraph-1-2-14-001.md,0.073121387,0.023410405,0.024566474,0.048843931,0.009537572,2.89E-04,0.099710983,0.030346821,0.040751445,0.004913295,0.010693642,0.001445087,0.017630058,2.89E-04,0.228034682,2.89E-04,0.009537572,0.010693642,0.185260116,0.180635838,,,,,,,,,,,,,,,,,,,,
38,paragraph-1-2-14-002.md,0.156730769,0.018269231,0.032371795,0.138782051,0.009294872,3.21E-04,0.078525641,0.049038462,3.21E-04,0.009294872,0.029807692,0.014423077,0.010576923,3.21E-04,0.124679487,0.010576923,0.054166667,0.016987179,0.066987179,0.178525641,,,,,,,,,,,,,,,,,,,,
39,paragraph-1-2-14-003.md,0.034313725,0.027777778,0.001633987,0.110130719,0.009477124,0.02124183,0.184640523,0.055228758,0.017320261,3.27E-04,0.042156863,3.27E-04,0.009477124,3.27E-04,0.13627451,0.002941176,0.034313725,0.018627451,0.151960784,0.141503268,,,,,,,,,,,,,,,,,,,,
40,paragraph-1-2-15-001.md,0.054494382,0.052247191,5.62E-04,0.018539326,5.62E-04,5.62E-04,0.164606742,0.110674157,0.07247191,5.62E-04,0.032022472,5.62E-04,0.002808989,5.62E-04,0.041011236,5.62E-04,5.62E-04,5.62E-04,0.191573034,0.254494382,,,,,,,,,,,,,,,,,,,,
41,paragraph-1-2-15-002.md,3.88E-04,0.169379845,3.88E-04,0.00503876,0.001937984,3.88E-04,0.001937984,0.020542636,0.051550388,3.88E-04,3.88E-04,3.88E-04,0.001937984,3.88E-04,3.88E-04,3.88E-04,0.012790698,0.099612403,0.135271318,0.496511628,,,,,,,,,,,,,,,,,,,,
42,paragraph-1-2-15-002.md,3.88E-04,0.155426357,3.88E-04,0.001937984,0.01124031,3.88E-04,3.88E-04,0.025193798,0.077906977,3.88E-04,3.88E-04,3.88E-04,0.003488372,3.88E-04,0.001937984,0.003488372,3.88E-04,0.093410853,0.130620155,0.491860465,,,,,,,,,,,,,,,,,,,,
43,paragraph-1-2-15-003.md,0.05,7.51E-04,1.50E-04,1.50E-04,1.50E-04,7.51E-04,0.028978979,0.498648649,0.042192192,1.50E-04,1.50E-04,1.50E-04,1.50E-04,1.50E-04,0.004354354,1.50E-04,0.03018018,1.50E-04,0.19954955,0.143093093,,,,,,,,,,,,,,,,,,,,
44,paragraph-1-2-15-003.md,0.037987988,1.50E-04,0.001951952,1.50E-04,1.50E-04,1.50E-04,0.026576577,0.510660661,0.032582583,1.50E-04,0.001951952,1.50E-04,1.50E-04,1.50E-04,1.50E-04,0.004954955,0.033783784,1.50E-04,0.19954955,0.148498498,,,,,,,,,,,,,,,,,,,,
45,paragraph-1-2-16-001.md,0.171509434,0.070377358,0.015283019,0.027358491,9.43E-04,0.006981132,0.129245283,0.046226415,0.059056604,0.029622642,1.89E-04,0.01,0.010754717,0.003207547,0.009245283,0.084716981,0.029622642,0.015283019,0.197924528,0.08245283,,,,,,,,,,,,,,,,,,,,
46,paragraph-1-2-16-002.md,0.258438819,0.044936709,0.006962025,0.098945148,0.008649789,2.11E-04,0.202742616,0.026371308,0.056751055,0.082067511,0.00443038,2.11E-04,0.001054852,2.11E-04,2.11E-04,2.11E-04,0.038185654,0.022151899,0.093881857,0.053375527,,,,,,,,,,,,,,,,,,,,
47,paragraph-1-2-17-001.md,0.126744186,0.094186047,0.019767442,0.010465116,0.001162791,0.108139535,0.191860465,0.001162791,0.196511628,0.024418605,0.001162791,0.001162791,0.029069767,0.019767442,0.001162791,0.001162791,0.001162791,0.052325581,0.11744186,0.001162791,,,,,,,,,,,,,,,,,,,,
48,paragraph-1-2-17-002.md,0.197286822,0.045348837,0.009689922,0.091860465,3.88E-04,0.051550388,0.139922481,0.00503876,0.084108527,0.01124031,0.008139535,3.88E-04,0.009689922,3.88E-04,0.026744186,0.01124031,0.130620155,0.020542636,0.136821705,0.018992248,,,,,,,,,,,,,,,,,,,,
49,paragraph-1-2-17-003.md,0.067057569,0.003518124,0.068763326,0.026972281,1.07E-04,0.248294243,0.141684435,0.030810235,0.062366738,1.07E-04,5.33E-04,0.017590618,0.008208955,0.023987207,0.009488273,0.003518124,0.029957356,0.013326226,0.202238806,0.041471215,,,,,,,,,,,,,,,,,,,,
50,paragraph-1-2-18-001.md,0.171367521,0.116666667,0.034615385,0.03974359,0.022649573,0.048290598,0.101282051,0.048290598,0.118376068,0.046581197,4.27E-04,4.27E-04,4.27E-04,0.022649573,4.27E-04,0.002136752,0.084188034,4.27E-04,0.12008547,0.020940171,,,,,,,,,,,,,,,,,,,,
51,paragraph-1-2-18-002.md,0.103731343,0.065920398,0.077860697,0.030099502,0.004228856,0.006218905,0.158457711,0.027114428,0.061940299,0.002238806,2.49E-04,2.49E-04,0.025124378,0.00920398,0.017164179,0.05199005,0.039054726,0.199253731,0.096766169,0.023134328,,,,,,,,,,,,,,,,,,,,
52,paragraph-1-2-18-003.md,0.142896175,0.05291439,0.003005464,0.012477231,0.022677596,0.005555556,0.165118397,0.011384335,0.031056466,0.004826958,0.008469945,0.004826958,0.003005464,0.012112933,0.01867031,0.044899818,0.074043716,0.196812386,0.174590164,0.010655738,,,,,,,,,,,,,,,,,,,,
53,paragraph-1-2-19-001.md,0.311538462,0.003846154,0.111538462,0.003846154,0.003846154,0.019230769,0.188461538,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.065384615,0.003846154,0.003846154,0.019230769,0.096153846,0.142307692,,,,,,,,,,,,,,,,,,,,
54,paragraph-1-2-19-002.md,0.228816199,0.031931464,0.058099688,0.058099688,0.028816199,0.021339564,0.139719626,0.054984424,1.56E-04,0.031931464,0.017601246,0.016978193,0.041900312,1.56E-04,0.046884735,0.03317757,0.006386293,0.002024922,0.120404984,0.0605919,,,,,,,,,,,,,,,,,,,,
55,paragraph-1-2-20-001.md,0.505704698,0.009955257,0.038590604,0.006823266,0.025615213,0.017561521,0.104362416,0.007270694,1.12E-04,0.009060403,0.022930649,0.007270694,1.12E-04,1.12E-04,0.022930649,0.045302013,0.019798658,0.010850112,0.143288591,0.002348993,,,,,,,,,,,,,,,,,,,,
56,paragraph-1-2-21-001.md,0.296272494,0.019151671,0.053084833,0.046401028,1.29E-04,0.037660668,0.173393316,0.004755784,0.022750643,0.004241645,0.018637532,0.028920308,0.01503856,1.29E-04,0.020694087,0.051542416,0.033547558,0.006298201,0.16722365,1.29E-04,,,,,,,,,,,,,,,,,,,,
57,paragraph-1-2-22-001.md,0.379936306,0.037261146,0.05,0.01433121,3.18E-04,0.001592357,0.158280255,0.001592357,3.18E-04,0.041082803,0.038535032,0.021974522,0.034713376,0.018152866,0.002866242,3.18E-04,0.044904459,0.015605096,0.134076433,0.004140127,,,,,,,,,,,,,,,,,,,,
58,paragraph-1-2-22-002.md,0.226923077,0.119230769,0.026923077,0.006410256,0.001282051,0.016666667,0.180769231,0.001282051,0.103846154,0.001282051,0.001282051,0.001282051,0.021794872,0.006410256,0.001282051,0.098717949,0.011538462,0.001282051,0.15,0.021794872,,,,,,,,,,,,,,,,,,,,
59,paragraph-1-2-22-003.md,0.162,0.106,0.034,0.002,0.018,0.034,0.122,0.002,0.09,0.002,0.082,0.002,0.002,0.034,0.002,0.002,0.002,0.002,0.226,0.074,,,,,,,,,,,,,,,,,,,,
60,paragraph-1-2-23-000.md,0.425308642,0.010493827,0.067283951,0.00308642,6.17E-04,0.017901235,0.124074074,6.17E-04,0.017901235,6.17E-04,0.052469136,0.005555556,6.17E-04,6.17E-04,0.012962963,0.054938272,0.022839506,0.037654321,0.129012346,0.015432099,,,,,,,,,,,,,,,,,,,,
61,paragraph-1-2-23-002.md,0.45,0.001515152,0.001515152,0.001515152,0.013636364,0.013636364,0.140909091,0.05,0.110606061,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.001515152,0.031818182,0.001515152,0.001515152,0.159090909,0.013636364,,,,,,,,,,,,,,,,,,,,
62,paragraph-1-2-24-001.md,0.397540984,0.036885246,0.010655738,8.20E-04,8.20E-04,8.20E-04,0.181147541,0.004098361,8.20E-04,8.20E-04,0.02704918,8.20E-04,8.20E-04,8.20E-04,0.007377049,0.043442623,0.046721311,0.040163934,0.18442623,0.013934426,,,,,,,,,,,,,,,,,,,,
63,paragraph-1-2-24-002.md,0.166831683,0.051980198,0.077722772,4.95E-04,0.002475248,0.002475248,0.125247525,0.012376238,0.143069307,0.051980198,0.036138614,0.004455446,0.002475248,4.95E-04,0.073762376,0.02029703,0.002475248,0.004455446,0.087623762,0.133168317,,,,,,,,,,,,,,,,,,,,
64,paragraph-2-1-25-001.md,0.216141732,0.038188976,0.063385827,0.019291339,0.011417323,0.001968504,0.121653543,0.033464567,0.057086614,0.036614173,3.94E-04,0.080708661,3.94E-04,0.00984252,0.006692913,0.046062992,0.00984252,0.003543307,0.173622047,0.069685039,,,,,,,,,,,,,,,,,,,,
65,paragraph-2-1-25-002.md,0.13137931,0.113448276,0.164482759,0.102413793,3.45E-04,0.001724138,0.118965517,0.00862069,0.001724138,0.055517241,0.022413793,0.023793103,0.016896552,3.45E-04,0.026551724,0.005862069,3.45E-04,0.004482759,0.109310345,0.09137931,,,,,,,,,,,,,,,,,,,,
66,paragraph-2-1-26-001.md,0.220750988,0.058695652,0.064229249,0.067391304,1.98E-04,1.98E-04,0.091106719,0.005731225,0.052371542,0.034980237,0.038142292,0.036561265,0.022332016,9.88E-04,0.022332016,0.00256917,0.106916996,1.98E-04,0.112450593,0.061857708,,,,,,,,,,,,,,,,,,,,
67,paragraph-2-1-26-002.md,0.303666147,0.072152886,0.019734789,0.00850234,0.002574103,0.022854914,0.130811232,0.008190328,0.027223089,0.002574103,0.011934477,7.80E-05,0.002574103,0.001950078,0.005070203,0.013806552,0.148907956,0.01474259,0.182605304,0.020046802,,,,,,,,,,,,,,,,,,,,
68,paragraph-2-1-27-001.md,0.200769231,0.003846154,0.286923077,7.69E-04,0.006923077,0.003846154,0.099230769,0.034615385,0.003846154,7.69E-04,0.053076923,0.006923077,7.69E-04,0.016153846,0.006923077,7.69E-04,0.01,0.022307692,0.102307692,0.139230769,,,,,,,,,,,,,,,,,,,,
69,paragraph-2-1-27-002.md,0.17137931,0.074827586,0.027931034,0.01,0.001724138,3.45E-04,0.164482759,3.45E-04,0.038965517,0.021034483,0.005862069,0.001724138,0.041724138,0.01,0.00862069,3.45E-04,0.065172414,0.00862069,0.179655172,0.167241379,,,,,,,,,,,,,,,,,,,,
70,paragraph-2-1-28-001.md,0.107142857,0.002380952,0.078571429,0.011904762,0.04047619,0.002380952,0.183333333,0.030952381,0.126190476,0.002380952,0.021428571,0.002380952,0.04047619,0.002380952,0.221428571,0.002380952,0.021428571,0.002380952,0.097619048,0.002380952,,,,,,,,,,,,,,,,,,,,
71,paragraph-2-1-28-002.md,0.012162162,0.006756757,0.206756757,0.060810811,0.001351351,0.006756757,0.077027027,0.001351351,0.001351351,0.055405405,0.001351351,0.001351351,0.012162162,0.001351351,0.012162162,0.006756757,0.066216216,0.141891892,0.093243243,0.233783784,,,,,,,,,,,,,,,,,,,,
72,paragraph-2-1-28-003.md,0.27189781,0.001824818,0.083576642,3.65E-04,3.65E-04,0.019343066,0.159489051,3.65E-04,0.068978102,0.023722628,3.65E-04,3.65E-04,3.65E-04,0.106934307,3.65E-04,0.029562044,3.65E-04,0.052919708,0.117153285,0.061678832,,,,,,,,,,,,,,,,,,,,
73,paragraph-2-1-29-000.md,0.221428571,0.002380952,0.088095238,0.069047619,0.002380952,0.069047619,0.202380952,0.011904762,0.021428571,0.078571429,0.011904762,0.002380952,0.011904762,0.002380952,0.002380952,0.021428571,0.002380952,0.002380952,0.069047619,0.107142857,,,,,,,,,,,,,,,,,,,,
